"Comment","Designator","Footprint","JLCPCB Part #（optional）"
"Crystal_GND24","Y1","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm",""
"AMS1117-3.3","U2","Package_TO_SOT_SMD:SOT-223-3_TabPin2",""
"STM32F103C8Tx","U1","Package_QFP:LQFP-48_7x7mm_P0.5mm",""
"SW_Push","SW2,SW3,SW4","Button_Switch_THT:SW_PUSH_6mm_H4.3mm",""
"SW_SPDT","SW1","Button_Switch_SMD:SW_SPDT_CK_JS102011SAQN",""
"1k5","R5,R6,R7,R8","Resistor_SMD:R_0402_1005Metric",""
"10k","R1,R2,R3,R4","Resistor_SMD:R_0402_1005Metric"," C25744"
"Conn_01x03_Male","J5","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"USB_B_Micro","J3","Connector_USB:USB_Micro-B_Wuerth_629105150521"," C879727"
"Conn_01x04_Male","J1,J2,J4","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"120R","FB1","Inductor_SMD:L_0402_1005Metric",""
"WS2812B","D2,D4","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","C2846931"
"LED","D1","LED_SMD:LED_0603_1608Metric","C2290"
"220n","C14,C16","Capacitor_SMD:C_0402_1005Metric",""
"22u","C12,C13","Capacitor_SMD:C_0805_2012Metric",""
"1u","C10,C11","Capacitor_SMD:C_0402_1005Metric",""
"10n","C9","Capacitor_SMD:C_0402_1005Metric",""
"100n","C3,C4,C5,C7,C8","Capacitor_SMD:C_0402_1005Metric",""
"10u","C2","Capacitor_SMD:C_0603_1608Metric",""
"10p","C1,C6","Capacitor_SMD:C_0402_1005Metric",""
